200
0	Etu0	8	7	1	5	6	4	2	3	0	
1	Etu1	6	4	7	1	3	0	2	5	8	
2	Etu2	4	5	6	2	3	0	1	7	8	
3	Etu3	3	2	0	4	1	7	8	5	6	
4	Etu4	5	4	6	7	1	8	2	0	3	
5	Etu5	8	2	1	3	7	6	0	5	4	
6	Etu6	4	5	1	7	6	8	0	2	3	
7	Etu7	6	8	7	1	5	0	4	3	2	
8	Etu8	4	1	2	7	6	0	3	5	8	
9	Etu9	2	8	3	4	0	1	6	7	5	
10	Etu10	5	4	6	0	3	1	7	2	8	
11	Etu11	0	8	7	4	1	2	5	6	3	
12	Etu12	4	0	7	6	8	3	2	5	1	
13	Etu13	0	2	5	8	7	3	4	6	1	
14	Etu14	3	6	7	5	8	1	0	4	2	
15	Etu15	7	1	3	4	6	5	8	2	0	
16	Etu16	4	0	6	2	8	7	1	5	3	
17	Etu17	2	8	4	0	1	6	5	3	7	
18	Etu18	7	3	1	8	6	0	2	5	4	
19	Etu19	8	7	4	3	2	1	0	6	5	
20	Etu20	2	4	6	1	7	8	5	3	0	
21	Etu21	1	0	2	5	7	6	3	4	8	
22	Etu22	1	0	2	6	8	7	5	4	3	
23	Etu23	0	3	7	1	8	5	6	2	4	
24	Etu24	3	2	1	6	8	4	7	0	5	
25	Etu25	1	8	2	0	6	3	5	7	4	
26	Etu26	4	3	5	1	0	6	2	8	7	
27	Etu27	8	3	1	0	7	6	4	2	5	
28	Etu28	4	6	5	3	8	0	7	2	1	
29	Etu29	1	6	7	4	0	8	3	2	5	
30	Etu30	5	6	3	4	8	2	0	1	7	
31	Etu31	1	7	8	6	5	0	3	2	4	
32	Etu32	8	6	1	0	7	5	2	4	3	
33	Etu33	4	2	8	3	1	0	5	6	7	
34	Etu34	1	4	7	5	0	8	2	6	3	
35	Etu35	4	1	5	8	2	6	7	0	3	
36	Etu36	2	0	6	7	1	3	4	5	8	
37	Etu37	7	0	8	6	3	4	5	2	1	
38	Etu38	6	8	3	0	2	5	4	7	1	
39	Etu39	6	2	1	3	7	5	4	8	0	
40	Etu40	5	3	1	6	8	2	7	0	4	
41	Etu41	1	8	3	2	7	5	0	4	6	
42	Etu42	7	3	8	2	4	5	6	1	0	
43	Etu43	5	8	2	3	4	7	6	1	0	
44	Etu44	0	5	3	6	2	8	7	1	4	
45	Etu45	0	3	4	6	7	8	1	2	5	
46	Etu46	1	2	5	4	0	7	8	6	3	
47	Etu47	0	5	4	7	3	8	1	2	6	
48	Etu48	5	6	4	7	2	3	1	0	8	
49	Etu49	0	6	1	2	5	4	3	7	8	
50	Etu50	6	0	4	8	1	7	5	2	3	
51	Etu51	5	2	3	1	6	8	7	0	4	
52	Etu52	6	7	8	5	3	4	2	0	1	
53	Etu53	6	4	3	5	7	1	2	0	8	
54	Etu54	8	2	4	1	0	6	3	7	5	
55	Etu55	2	1	6	7	3	8	5	4	0	
56	Etu56	3	6	2	5	1	8	7	4	0	
57	Etu57	1	3	2	8	7	6	4	0	5	
58	Etu58	3	2	1	8	6	5	0	4	7	
59	Etu59	8	1	5	7	2	6	3	0	4	
60	Etu60	4	1	7	5	8	2	0	6	3	
61	Etu61	8	4	5	2	6	7	3	1	0	
62	Etu62	5	2	6	7	0	8	3	1	4	
63	Etu63	3	5	4	0	1	2	7	6	8	
64	Etu64	3	8	5	0	6	2	4	7	1	
65	Etu65	6	4	0	8	5	3	2	1	7	
66	Etu66	4	2	3	1	5	0	8	6	7	
67	Etu67	2	8	6	1	4	7	5	0	3	
68	Etu68	0	3	8	5	7	1	4	2	6	
69	Etu69	0	4	5	3	8	7	2	1	6	
70	Etu70	7	5	2	6	4	8	0	3	1	
71	Etu71	4	6	5	7	8	2	1	0	3	
72	Etu72	6	5	2	8	1	7	4	0	3	
73	Etu73	8	6	5	7	2	0	4	3	1	
74	Etu74	1	5	4	0	6	2	8	7	3	
75	Etu75	6	3	7	8	5	4	2	1	0	
76	Etu76	7	0	4	2	1	6	8	3	5	
77	Etu77	1	6	3	7	8	2	0	4	5	
78	Etu78	7	2	8	3	5	1	0	4	6	
79	Etu79	5	3	8	0	2	6	4	7	1	
80	Etu80	0	6	7	1	3	5	8	2	4	
81	Etu81	0	1	7	6	5	3	4	2	8	
82	Etu82	5	0	2	3	4	7	6	1	8	
83	Etu83	4	5	6	0	3	8	2	7	1	
